Date,Username,Name,Before Price,After Price,Link,Unique_ID
19-11-2024 15:40:54,vroomleasing,[BIKE RENTAL] Yamaha | Honda | Kawasaki | XSR155 | XSR | CB150X | CB200X | CB150 | CB200 | RXZ | MT15 | CBR150 | Krr | R15V4M | R15 V4 | R15 | R15v2 | Spark | Spark Leovince | X1R | X1R Yoshi | Aerox | Nmax | Duke 200 | Duke | Sniper | Gilera | ST200,Not Slashed,35,https://www.carousell.sg/p/bike-rental-yamaha-honda-kawasaki-xsr155-xsr-cb150x-cb200x-cb150-cb200-rxz-mt15-cbr150-krr-r15v4m-r15-v4-r15-r15v2-spark-spark-leovince-x1r-x1r-yoshi-aerox-nmax-duke-200-duke-sniper-gilera-st200-1239081350/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=NdmobfBkKW09VyLS&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=22,bike-rental-yamaha-honda-kawasaki-xsr155-xsr-cb150x-cb200x-cb150-cb200-rxz-mt15-cbr150-krr-r15v4m-r15-v4-r15-r15v2-spark-spark-leovince-x1r-x1r-yoshi-aerox-nmax-duke-200-duke-sniper-gilera-st200-1239081350
19-11-2024 15:40:54,therealestdealer2.0,RXZ  (wts/ wtt krr),Not Slashed,"5,000",https://www.carousell.sg/p/rxz-wts-wtt-krr-1335050415/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=NdmobfBkKW09VyLS&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=23,rxz-wts-wtt-krr-1335050415
19-11-2024 15:40:54,lookingforkrr,LOOKING FOR KRR150,Not Slashed,111,https://www.carousell.sg/p/looking-for-krr150-1323905290/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=NdmobfBkKW09VyLS&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=25,looking-for-krr150-1323905290
19-11-2024 15:40:54,tansrimpires,Kawasaki KRR 150,Not Slashed,"19,800",https://www.carousell.sg/p/kawasaki-krr-150-1282875373/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=NdmobfBkKW09VyLS&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=27,kawasaki-krr-150-1282875373
19-11-2024 15:40:54,tansrimpires,Kawasaki KRR 150 ZX150,"21,500","19,500",https://www.carousell.sg/p/kawasaki-krr-150-zx150-1290394402/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=NdmobfBkKW09VyLS&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=28,kawasaki-krr-150-zx150-1290394402
19-11-2024 15:40:54,tellemwhatupssss,Aerox V1 2029 WTT with KRR,Not Slashed,0,https://www.carousell.sg/p/aerox-v1-2029-wtt-with-krr-1334368534/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=NdmobfBkKW09VyLS&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=29,aerox-v1-2029-wtt-with-krr-1334368534
19-11-2024 15:40:54,hxd4_,krr coverset ori,Not Slashed,850,https://www.carousell.sg/p/krr-coverset-ori-1323776883/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=NdmobfBkKW09VyLS&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=30,krr-coverset-ori-1323776883
19-11-2024 15:40:54,ssftw,krr 150,Not Slashed,"12,000",https://www.carousell.sg/p/krr-150-1328951086/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=NdmobfBkKW09VyLS&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=31,krr-150-1328951086
19-11-2024 15:40:54,zuuulx,Kawasaki KRR 150,Not Slashed,"9,300",https://www.carousell.sg/p/kawasaki-krr-150-1323509358/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=NdmobfBkKW09VyLS&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=32,kawasaki-krr-150-1323509358
19-11-2024 15:40:54,lololol345,LF KRR Renewable,Not Slashed,"4,000",https://www.carousell.sg/p/lf-krr-renewable-1323261947/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=NdmobfBkKW09VyLS&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=33,lf-krr-renewable-1323261947
19-11-2024 15:40:54,hxzzyy,Wtt sniper v2 for krr or rxz,Not Slashed,1,https://www.carousell.sg/p/wtt-sniper-v2-for-krr-or-rxz-1252786828/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=NdmobfBkKW09VyLS&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=34,wtt-sniper-v2-for-krr-or-rxz-1252786828
19-11-2024 15:40:54,idkwhattoputla,Looking For KRR,Not Slashed,0,https://www.carousell.sg/p/looking-for-krr-1317365997/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=NdmobfBkKW09VyLS&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=35,looking-for-krr-1317365997
